group,subject,isi,hits,false_alarms,n_signal,n_noise,hit_rate,fa_rate,d_prime
US,PRO24csv:af1p5tqxxrk,32,2,16,6,90,0.3333333333333333,0.17777777777777778,0.49313972144885493
US,PRO24csv:af1p5tqxxrk,64,2,16,5,90,0.4,0.17777777777777778,0.6705199176085128
US,PRO24csv:amq5zg3h6lx,0,5,32,5,91,1.0,0.3516483516483517,2.707221931556879
US,PRO24csv:amq5zg3h6lx,1,3,32,4,91,0.75,0.3516483516483517,1.0553638077121197
US,PRO24csv:amq5zg3h6lx,2,6,32,6,91,1.0,0.3516483516483517,2.707221931556879
US,PRO24csv:amq5zg3h6lx,3,3,32,4,91,0.75,0.3516483516483517,1.0553638077121197
US,PRO24csv:amq5zg3h6lx,4,4,32,6,91,0.6666666666666666,0.3516483516483517,0.8116013568114955
US,PRO24csv:amq5zg3h6lx,8,3,32,4,91,0.75,0.3516483516483517,1.0553638077121197
US,PRO24csv:amq5zg3h6lx,16,2,32,4,91,0.5,0.3516483516483517,0.380874057516038
US,PRO24csv:amq5zg3h6lx,32,5,32,5,91,1.0,0.3516483516483517,2.707221931556879
US,PRO24csv:amq5zg3h6lx,64,3,32,4,91,0.75,0.3516483516483517,1.0553638077121197
US,PRO24csv:b45723usx8z,0,4,13,4,90,1.0,0.14444444444444443,3.3869101175722665
US,PRO24csv:b45723usx8z,1,4,13,4,90,1.0,0.14444444444444443,3.3869101175722665
US,PRO24csv:b45723usx8z,2,5,13,5,90,1.0,0.14444444444444443,3.3869101175722665
US,PRO24csv:b45723usx8z,3,5,13,5,90,1.0,0.14444444444444443,3.3869101175722665
US,PRO24csv:b45723usx8z,4,4,13,5,90,0.8,0.14444444444444443,1.90218347710434
US,PRO24csv:b45723usx8z,8,5,13,6,90,0.8333333333333334,0.14444444444444443,2.0279838096331266
US,PRO24csv:b45723usx8z,16,3,13,4,90,0.75,0.14444444444444443,1.7350519937275073
US,PRO24csv:b45723usx8z,32,5,13,5,90,1.0,0.14444444444444443,3.3869101175722665
US,PRO24csv:b45723usx8z,64,5,13,5,90,1.0,0.14444444444444443,3.3869101175722665
US,PRO24csv:b4rrzgsrsh0,0,6,8,6,89,1.0,0.0898876404494382,3.667795138004391
